model_type,retrainer,exp_type,mean_f1,std_f1,median_f1,mean_dir_accuracy,retrains,signals_fired,cooldowns_hit,windows
rf,msm_tau_1_0.88_tau_2_0.72_lb_4,msm,0.4192,0.1107,0.4113,0.5289,19,37,38,83
rf,msm_tau_1_0.88_tau_2_0.75_lb_4,msm,0.4192,0.1107,0.4113,0.5289,19,37,38,83
rf,spy_msm_tau_1_0.83_tau_2_0.72_lb_3,spy_msm,0.4184,0.1014,0.4212,0.5142,15,24,30,83
rf,spy_msm_tau_1_0.83_tau_2_0.75_lb_3,spy_msm,0.4184,0.1014,0.4212,0.5142,15,24,30,83
rf,spy_msm_tau_1_0.83_tau_2_0.78_lb_3,spy_msm,0.4184,0.1014,0.4212,0.5142,15,24,30,83
rf,spy_msm_tau_1_0.8_tau_2_0.72_lb_3,spy_msm,0.4184,0.1014,0.4212,0.5142,15,24,30,83
rf,spy_msm_tau_1_0.8_tau_2_0.75_lb_3,spy_msm,0.4184,0.1014,0.4212,0.5142,15,24,30,83
rf,spy_msm_tau_1_0.88_tau_2_0.72_lb_6,spy_msm,0.4181,0.112,0.4183,0.5276,17,31,34,83
rf,spy_msm_tau_1_0.88_tau_2_0.75_lb_6,spy_msm,0.4181,0.112,0.4183,0.5276,17,31,34,83
rf,spy_msm_tau_1_0.88_tau_2_0.78_lb_6,spy_msm,0.4181,0.112,0.4183,0.5276,17,31,34,83
rf,msm_tau_1_0.88_tau_2_0.72_lb_3,msm,0.4173,0.0967,0.4074,0.5189,19,33,38,83
rf,msm_tau_1_0.88_tau_2_0.75_lb_3,msm,0.4173,0.0967,0.4074,0.5189,19,34,38,83
rf,msm_tau_1_0.88_tau_2_0.78_lb_3,msm,0.4173,0.0967,0.4074,0.5189,19,34,38,83
rf,timeout_msm_tau_1_0.88_tau_2_0.72_lb_3,timeout_msm,0.4173,0.0967,0.4074,0.5189,19,33,38,83
rf,timeout_msm_tau_1_0.88_tau_2_0.75_lb_3,timeout_msm,0.4173,0.0967,0.4074,0.5189,19,34,38,83
rf,timeout_msm_tau_1_0.88_tau_2_0.78_lb_3,timeout_msm,0.4173,0.0967,0.4074,0.5189,19,34,38,83
rf,spy_msm_tau_1_0.83_tau_2_0.72_lb_4,spy_msm,0.4134,0.0986,0.4183,0.5342,16,27,32,83
rf,spy_msm_tau_1_0.83_tau_2_0.75_lb_4,spy_msm,0.4134,0.0986,0.4183,0.5342,16,27,32,83
rf,spy_msm_tau_1_0.83_tau_2_0.78_lb_4,spy_msm,0.4134,0.0986,0.4183,0.5342,16,27,32,83
rf,spy_msm_tau_1_0.8_tau_2_0.72_lb_4,spy_msm,0.4134,0.0986,0.4183,0.5342,16,27,32,83
rf,spy_msm_tau_1_0.8_tau_2_0.75_lb_4,spy_msm,0.4134,0.0986,0.4183,0.5342,16,27,32,83
rf,fixed_12,fixed,0.4117,0.1074,0.4167,0.5096,6,6,14,83
rf,causal_tau_1_0.8_tau_2_0.72_lb_3,causal,0.4108,0.12,0.4232,0.4727,16,26,32,83
rf,causal_tau_1_0.8_tau_2_0.75_lb_3,causal,0.4108,0.12,0.4232,0.4727,16,26,32,83
rf,spy_msm_tau_1_0.83_tau_2_0.72_lb_6,spy_msm,0.4105,0.1017,0.4183,0.5178,16,29,32,83
rf,spy_msm_tau_1_0.83_tau_2_0.75_lb_6,spy_msm,0.4105,0.1017,0.4183,0.5178,16,29,32,83
