model_type,exp_type,tau_1,tau_2,lookback,mean_f1,std_f1,mean_dir_accuracy,retrains
xgboost,spy_msm,0.83,0.75,6.0,0.4172,0.1138,0.523,16
xgboost,spy_msm,0.83,0.78,6.0,0.4172,0.1138,0.523,16
xgboost,spy_msm,0.88,0.72,3.0,0.4163,0.1154,0.5143,15
xgboost,spy_msm,0.88,0.75,3.0,0.4163,0.1154,0.5143,15
xgboost,timeout_msm,0.88,0.72,4.0,0.4444,0.1219,0.5318,19
xgboost,timeout_msm,0.88,0.75,4.0,0.4405,0.1203,0.5306,20
xgboost,timeout_msm,0.88,0.78,4.0,0.4405,0.1203,0.5306,20
xgboost,timeout_msm,0.83,0.72,3.0,0.4401,0.1191,0.5239,18
xgboost,timeout_msm,0.83,0.75,3.0,0.4401,0.1191,0.5239,18
xgboost,timeout_msm,0.88,0.72,3.0,0.4383,0.109,0.5304,19
xgboost,timeout_msm,0.88,0.75,3.0,0.4383,0.109,0.5304,19
xgboost,timeout_msm,0.88,0.78,3.0,0.4383,0.109,0.5304,19
xgboost,timeout_msm,0.8,0.72,6.0,0.4379,0.121,0.5316,19
xgboost,timeout_msm,0.8,0.75,6.0,0.4379,0.121,0.5316,19
xgboost,timeout_msm,0.83,0.72,6.0,0.4379,0.121,0.5316,19
xgboost,timeout_msm,0.83,0.75,6.0,0.4379,0.121,0.5316,19
xgboost,timeout_msm,0.83,0.78,6.0,0.4379,0.121,0.5316,19
xgboost,timeout_msm,0.88,0.72,6.0,0.4379,0.121,0.5316,19
xgboost,timeout_msm,0.88,0.75,6.0,0.4379,0.121,0.5316,19
xgboost,timeout_msm,0.88,0.78,6.0,0.4379,0.121,0.5316,19
xgboost,timeout_msm,0.8,0.72,3.0,0.4368,0.121,0.5292,16
xgboost,timeout_msm,0.8,0.75,3.0,0.4368,0.121,0.5292,16
xgboost,timeout_msm,0.83,0.78,3.0,0.434,0.1128,0.5205,18
xgboost,timeout_msm,0.8,0.72,4.0,0.4227,0.1238,0.5141,19
xgboost,timeout_msm,0.8,0.75,4.0,0.4227,0.1238,0.5141,19
xgboost,timeout_msm,0.83,0.72,4.0,0.4227,0.1238,0.5141,19
xgboost,timeout_msm,0.83,0.75,4.0,0.4227,0.1238,0.5141,19
xgboost,timeout_msm,0.83,0.78,4.0,0.4227,0.1238,0.5141,19
