model_type,retrainer,exp_type,retrain_rate_calm,retrain_rate_stress,stress_calm_ratio
xgboost,timeout_msm_tau_1_0.8_tau_2_0.72_lb_3,timeout_msm,0.1867,0.25,1.339
xgboost,timeout_msm_tau_1_0.8_tau_2_0.75_lb_3,timeout_msm,0.1867,0.25,1.339
xgboost,perf_drop_0.05_lookback_3,perf,0.2,0.25,1.25
xgboost,perf_drop_0.05_lookback_4,perf,0.2,0.25,1.25
xgboost,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,0.2133,0.25,1.1721
xgboost,causal_tau_1_0.83_tau_2_0.72_lb_6,causal,0.2133,0.25,1.1721
xgboost,causal_tau_1_0.83_tau_2_0.75_lb_3,causal,0.2133,0.25,1.1721
xgboost,causal_tau_1_0.83_tau_2_0.75_lb_6,causal,0.2133,0.25,1.1721
xgboost,causal_tau_1_0.83_tau_2_0.78_lb_3,causal,0.2133,0.25,1.1721
xgboost,causal_tau_1_0.83_tau_2_0.78_lb_6,causal,0.2133,0.25,1.1721
xgboost,causal_tau_1_0.88_tau_2_0.72_lb_6,causal,0.2133,0.25,1.1721
xgboost,causal_tau_1_0.88_tau_2_0.75_lb_6,causal,0.2133,0.25,1.1721
xgboost,causal_tau_1_0.88_tau_2_0.78_lb_6,causal,0.2133,0.25,1.1721
xgboost,causal_tau_1_0.8_tau_2_0.72_lb_6,causal,0.2133,0.25,1.1721
xgboost,causal_tau_1_0.8_tau_2_0.75_lb_6,causal,0.2133,0.25,1.1721
xgboost,msm_tau_1_0.83_tau_2_0.72_lb_3,msm,0.2133,0.25,1.1721
xgboost,msm_tau_1_0.83_tau_2_0.72_lb_6,msm,0.2133,0.25,1.1721
xgboost,msm_tau_1_0.83_tau_2_0.75_lb_3,msm,0.2133,0.25,1.1721
xgboost,msm_tau_1_0.83_tau_2_0.75_lb_6,msm,0.2133,0.25,1.1721
xgboost,msm_tau_1_0.83_tau_2_0.78_lb_3,msm,0.2133,0.25,1.1721
xgboost,msm_tau_1_0.83_tau_2_0.78_lb_6,msm,0.2133,0.25,1.1721
xgboost,msm_tau_1_0.88_tau_2_0.72_lb_6,msm,0.2133,0.25,1.1721
xgboost,msm_tau_1_0.88_tau_2_0.75_lb_6,msm,0.2133,0.25,1.1721
xgboost,msm_tau_1_0.88_tau_2_0.78_lb_6,msm,0.2133,0.25,1.1721
xgboost,msm_tau_1_0.8_tau_2_0.72_lb_6,msm,0.2133,0.25,1.1721
xgboost,msm_tau_1_0.8_tau_2_0.75_lb_6,msm,0.2133,0.25,1.1721
xgboost,timeout_msm_tau_1_0.83_tau_2_0.72_lb_3,timeout_msm,0.2133,0.25,1.1721
xgboost,timeout_msm_tau_1_0.83_tau_2_0.75_lb_3,timeout_msm,0.2133,0.25,1.1721
xgboost,timeout_msm_tau_1_0.83_tau_2_0.78_lb_3,timeout_msm,0.2133,0.25,1.1721
xgboost,fixed_3,fixed,0.32,0.375,1.1719
xgboost,perf_drop_0.1_lookback_4,perf,0.1067,0.125,1.1715
xgboost,perf_drop_0.1_lookback_6,perf,0.1067,0.125,1.1715
xgboost,causal_tau_1_0.83_tau_2_0.72_lb_4,causal,0.2267,0.25,1.1028
xgboost,causal_tau_1_0.83_tau_2_0.75_lb_4,causal,0.2267,0.25,1.1028
xgboost,causal_tau_1_0.83_tau_2_0.78_lb_4,causal,0.2267,0.25,1.1028
xgboost,causal_tau_1_0.88_tau_2_0.72_lb_3,causal,0.2267,0.25,1.1028
xgboost,causal_tau_1_0.88_tau_2_0.72_lb_4,causal,0.2267,0.25,1.1028
xgboost,causal_tau_1_0.88_tau_2_0.75_lb_3,causal,0.2267,0.25,1.1028
xgboost,causal_tau_1_0.88_tau_2_0.75_lb_4,causal,0.2267,0.25,1.1028
xgboost,causal_tau_1_0.88_tau_2_0.78_lb_3,causal,0.2267,0.25,1.1028
xgboost,causal_tau_1_0.88_tau_2_0.78_lb_4,causal,0.2267,0.25,1.1028
xgboost,causal_tau_1_0.8_tau_2_0.72_lb_4,causal,0.2267,0.25,1.1028
xgboost,causal_tau_1_0.8_tau_2_0.75_lb_4,causal,0.2267,0.25,1.1028
xgboost,msm_tau_1_0.83_tau_2_0.72_lb_4,msm,0.2267,0.25,1.1028
xgboost,msm_tau_1_0.83_tau_2_0.75_lb_4,msm,0.2267,0.25,1.1028
xgboost,msm_tau_1_0.83_tau_2_0.78_lb_4,msm,0.2267,0.25,1.1028
xgboost,msm_tau_1_0.88_tau_2_0.72_lb_3,msm,0.2267,0.25,1.1028
xgboost,msm_tau_1_0.88_tau_2_0.72_lb_4,msm,0.2267,0.25,1.1028
xgboost,msm_tau_1_0.88_tau_2_0.75_lb_3,msm,0.2267,0.25,1.1028
xgboost,msm_tau_1_0.88_tau_2_0.75_lb_4,msm,0.2267,0.25,1.1028
xgboost,msm_tau_1_0.88_tau_2_0.78_lb_3,msm,0.2267,0.25,1.1028
xgboost,msm_tau_1_0.88_tau_2_0.78_lb_4,msm,0.2267,0.25,1.1028
