model_type,retrainer,exp_type,class,class_name,f1
lr,perf_drop_0.2_lookback_6,perf,0,down,0.5243
lr,perf_drop_0.2_lookback_6,perf,1,neutral,0.124
lr,perf_drop_0.2_lookback_6,perf,2,up,0.5784
lr,random,random,0,down,0.5188
lr,random,random,1,neutral,0.4775
lr,random,random,2,up,0.5121
lr,spy_msm_tau_1_0.83_tau_2_0.72_lb_3,spy_msm,0,down,0.5343
lr,spy_msm_tau_1_0.83_tau_2_0.72_lb_3,spy_msm,1,neutral,0.4706
lr,spy_msm_tau_1_0.83_tau_2_0.72_lb_3,spy_msm,2,up,0.5141
lr,spy_msm_tau_1_0.83_tau_2_0.72_lb_4,spy_msm,0,down,0.5343
lr,spy_msm_tau_1_0.83_tau_2_0.72_lb_4,spy_msm,1,neutral,0.477
lr,spy_msm_tau_1_0.83_tau_2_0.72_lb_4,spy_msm,2,up,0.5287
lr,spy_msm_tau_1_0.83_tau_2_0.72_lb_6,spy_msm,0,down,0.5348
lr,spy_msm_tau_1_0.83_tau_2_0.72_lb_6,spy_msm,1,neutral,0.4796
lr,spy_msm_tau_1_0.83_tau_2_0.72_lb_6,spy_msm,2,up,0.5255
lr,spy_msm_tau_1_0.83_tau_2_0.75_lb_3,spy_msm,0,down,0.5343
lr,spy_msm_tau_1_0.83_tau_2_0.75_lb_3,spy_msm,1,neutral,0.4706
lr,spy_msm_tau_1_0.83_tau_2_0.75_lb_3,spy_msm,2,up,0.5141
lr,spy_msm_tau_1_0.83_tau_2_0.75_lb_4,spy_msm,0,down,0.5343
lr,spy_msm_tau_1_0.83_tau_2_0.75_lb_4,spy_msm,1,neutral,0.477
lr,spy_msm_tau_1_0.83_tau_2_0.75_lb_4,spy_msm,2,up,0.5287
lr,spy_msm_tau_1_0.83_tau_2_0.75_lb_6,spy_msm,0,down,0.5348
lr,spy_msm_tau_1_0.83_tau_2_0.75_lb_6,spy_msm,1,neutral,0.4796
lr,spy_msm_tau_1_0.83_tau_2_0.75_lb_6,spy_msm,2,up,0.5255
lr,spy_msm_tau_1_0.83_tau_2_0.78_lb_3,spy_msm,0,down,0.5343
lr,spy_msm_tau_1_0.83_tau_2_0.78_lb_3,spy_msm,1,neutral,0.4706
lr,spy_msm_tau_1_0.83_tau_2_0.78_lb_3,spy_msm,2,up,0.5141
lr,spy_msm_tau_1_0.83_tau_2_0.78_lb_4,spy_msm,0,down,0.5343
lr,spy_msm_tau_1_0.83_tau_2_0.78_lb_4,spy_msm,1,neutral,0.477
lr,spy_msm_tau_1_0.83_tau_2_0.78_lb_4,spy_msm,2,up,0.5287
lr,spy_msm_tau_1_0.83_tau_2_0.78_lb_6,spy_msm,0,down,0.5348
lr,spy_msm_tau_1_0.83_tau_2_0.78_lb_6,spy_msm,1,neutral,0.4796
lr,spy_msm_tau_1_0.83_tau_2_0.78_lb_6,spy_msm,2,up,0.5255
lr,spy_msm_tau_1_0.88_tau_2_0.72_lb_3,spy_msm,0,down,0.5447
lr,spy_msm_tau_1_0.88_tau_2_0.72_lb_3,spy_msm,1,neutral,0.4826
lr,spy_msm_tau_1_0.88_tau_2_0.72_lb_3,spy_msm,2,up,0.5178
lr,spy_msm_tau_1_0.88_tau_2_0.72_lb_4,spy_msm,0,down,0.5416
lr,spy_msm_tau_1_0.88_tau_2_0.72_lb_4,spy_msm,1,neutral,0.4824
lr,spy_msm_tau_1_0.88_tau_2_0.72_lb_4,spy_msm,2,up,0.5236
lr,spy_msm_tau_1_0.88_tau_2_0.72_lb_6,spy_msm,0,down,0.5433
lr,spy_msm_tau_1_0.88_tau_2_0.72_lb_6,spy_msm,1,neutral,0.4812
lr,spy_msm_tau_1_0.88_tau_2_0.72_lb_6,spy_msm,2,up,0.5303
